Name,Country,Industry,Is_AI_Startup,Revenue Year 1,Revenue Year 2,Revenue Year 3,Growth_Y1_to_Y2,Growth_Y2_to_Y3,Total_Growth_3Year,Innovation_Speed_Score,Current Status,Status_Score,Competitive_Advantage_Score,Startup_Age_Years,High_Advantage
Zenith BioTech Nexus 27,Canada,BioTech,0,225.0,335.0,4.5,48.888888888888886,-98.65671641791045,-98.0,-24.88391376451078,Successful,2,1.0133663366336634,13,0
Smart EdTech Point 28,South Korea,EdTech,0,8.0,479.0,13.9,5887.5,-97.098121085595,73.75,201.4509394572025,Successful,2,1.1150371287128713,10,1
Smart FinTech Labs 29,Australia,FinTech,0,367.0,143.0,9.3,-61.03542234332425,-93.4965034965035,-97.46594005449592,-77.26596291991387,Acquired,1,0.5276237623762376,4,0
Core AgriTech Point 30,UAE,AgriTech,0,112.0,313.0,6.7,179.46428571428572,-97.85942492012781,-94.01785714285714,40.80243039707896,Successful,2,1.01990099009901,12,1
Zenith BioTech Technologies 31,USA,BioTech,0,307.0,966.0,1.7,214.65798045602605,-99.82401656314698,-99.44625407166124,57.416981946439535,Successful,2,1.005049504950495,13,0
Prime EdTech Point 32,Germany,EdTech,0,249.0,1.2,11.5,-99.51807228915663,858.3333333333334,-95.38152610441767,200.24096385542168,Successful,2,1.0341584158415842,13,1
Apex Logistics Technologies 33,Israel,Logistics,0,422.0,216.0,6.3,-48.81516587677725,-97.08333333333333,-98.50710900473933,-72.94924960505529,Acquired,1,0.5187128712871287,12,0
Zenith Logistics Solutions 34,Brazil,Logistics,0,164.0,1.6,5.3,-99.02439024390245,231.24999999999994,-96.76829268292683,66.11280487804875,Successful,2,1.0157425742574258,3,1
Global FinTech Labs 35,Israel,FinTech,0,73.0,964.0,11.1,1220.5479452054794,-98.84854771784232,-84.79452054794521,200.57572614107883,Successful,2,1.032970297029703,11,1
NextGen E-commerce Flow 36,UK,E-commerce,0,143.0,826.0,14.5,477.6223776223776,-98.24455205811138,-89.86013986013987,189.68891278213312,Successful,2,1.043069306930693,14,1
Smart BioTech Flow 37,Australia,BioTech,0,409.0,1.1,8.6,-99.73105134474326,681.8181818181818,-97.89731051344742,200.13447432762837,Successful,2,1.0255445544554456,8,1
Global SaaS Systems 38,Israel,SaaS,0,367.0,896.0,12.7,144.141689373297,-98.58258928571428,-96.53950953678473,22.77955004379136,Acquired,1,0.5377227722772278,7,0
Zenith SaaS Nexus 39,Germany,SaaS,0,235.0,1.2,5.1,-99.48936170212767,324.99999999999994,-97.82978723404256,112.75531914893614,Acquired,1,0.5151485148514852,5,0
Smart Logistics Hub 40,Australia,Logistics,0,330.0,1.4,6.8,-99.57575757575758,385.7142857142858,-97.93939393939394,143.0692640692641,Successful,2,1.0201980198019802,8,1
Apex CleanTech Wave 41,Singapore,CleanTech,0,15.0,590.0,5.4,3833.3333333333335,-99.08474576271186,-64.0,200.45762711864407,Failed,0,0.01603960396039604,4,0
Elite Cybersecurity Solutions 42,South Korea,Cybersecurity,0,180.0,554.0,12.1,207.7777777777778,-97.8158844765343,-93.27777777777779,54.98094665062175,Successful,2,1.035940594059406,3,1
Zenith HealthTech Flow 43,UAE,HealthTech,0,293.0,1.9,1.6,-99.35153583617749,-15.789473684210517,-99.45392491467577,-57.570504760194005,Successful,2,1.0047524752475248,13,0
Smart AgriTech Network 44,USA,AgriTech,0,173.0,199.0,6.9,15.028901734104046,-96.53266331658291,-96.01156069364161,-40.75188079123943,Failed,0,0.020495049504950496,11,0
Quantum HealthTech Network 45,South Korea,HealthTech,0,232.0,224.0,7.2,-3.4482758620689653,-96.78571428571429,-96.89655172413794,-50.11699507389163,Acquired,1,0.5213861386138614,12,0
Nova BioTech Solutions 46,USA,BioTech,0,347.0,902.0,8.3,159.94236311239194,-99.07982261640798,-97.60806916426512,30.431270247991982,Successful,2,1.0246534653465347,10,1
Prime AI/ML Labs 47,South Korea,AI/ML,1,206.0,279.0,15.0,35.43689320388349,-94.6236559139785,-92.71844660194175,-29.5933813550475,Successful,2,1.0445544554455446,6,1
NextGen FinTech Systems 48,Brazil,FinTech,0,285.0,356.0,12.8,24.912280701754387,-96.40449438202246,-95.50877192982455,-35.74610684013404,Successful,2,1.038019801980198,2,1
Prime E-commerce Hub 49,Brazil,E-commerce,0,430.0,1.7,8.2,-99.6046511627907,382.35294117647055,-98.09302325581396,141.3741450068399,Successful,2,1.0243564356435644,13,1
Apex AI/ML Solutions 50,India,AI/ML,1,286.0,1.5,12.9,-99.47552447552448,760.0,-95.4895104895105,200.26223776223776,Successful,2,1.0383168316831684,11,1
Smart CleanTech Technologies 51,Brazil,CleanTech,0,6.0,574.0,7.0,9466.666666666668,-98.78048780487805,16.666666666666664,200.609756097561,Successful,2,1.0374587458745874,2,1
Core SaaS Wave 52,Brazil,SaaS,0,371.0,332.0,4.2,-10.512129380053908,-98.73493975903614,-98.86792452830188,-54.62353456954502,Failed,0,0.012475247524752476,14,0
Smart SaaS Network 53,USA,SaaS,0,8.0,983.0,1.5,12187.5,-99.84740590030519,-81.25,200.0762970498474,Acquired,1,0.5044554455445545,9,0
Nova FinTech Technologies 54,Singapore,FinTech,0,57.0,1.1,2.1,-98.07017543859648,90.9090909090909,-96.3157894736842,-3.5805422647527863,Successful,2,1.0062376237623762,14,0
Quantum Logistics Flow 55,South Korea,Logistics,0,492.0,938.0,7.8,90.65040650406505,-99.1684434968017,-98.41463414634146,-4.259018496368327,Successful,2,1.0231683168316832,9,1
Prime HealthTech Flow 56,Brazil,HealthTech,0,431.0,1.3,2.7,-99.6983758700696,107.69230769230771,-99.37354988399072,3.996965911119055,Successful,2,1.008019801980198,4,0
Smart PropTech Point 57,Japan,PropTech,0,418.0,1.5,9.7,-99.64114832535886,546.6666666666666,-97.67942583732058,200.17942583732057,Acquired,1,0.5288118811881188,2,0
Global E-commerce Wave 58,France,E-commerce,0,263.0,1.9,10.8,-99.27756653992397,468.421052631579,-95.893536121673,184.57174304582753,Successful,2,1.032079207920792,13,1
Quantum BioTech Technologies 59,UAE,BioTech,0,319.0,1.4,2.3,-99.56112852664577,64.28571428571428,-99.27899686520377,-17.63770712046575,Acquired,1,0.5068316831683168,7,0
Zenith AI/ML Wave 60,India,AI/ML,1,115.0,581.0,4.0,405.2173913043478,-99.31153184165233,-96.52173913043478,152.95292973134775,Successful,2,1.011881188118812,6,0
Quantum E-commerce Wave 61,France,E-commerce,0,224.0,641.0,15.0,186.16071428571428,-97.65990639625585,-93.30357142857143,44.250403944729214,Successful,2,1.0445544554455446,12,1
NextGen EdTech Wave 62,Japan,EdTech,0,63.0,1.6,9.2,-97.46031746031746,474.9999999999999,-85.39682539682539,188.7698412698412,Successful,2,1.0273267326732674,13,1
Prime Cybersecurity Wave 63,France,Cybersecurity,0,146.0,1.9,11.7,-98.6986301369863,515.7894736842105,-91.98630136986303,200.65068493150685,Failed,0,0.03475247524752475,14,0
Zenith AgriTech Wave 64,Japan,AgriTech,0,453.0,2.0,14.1,-99.55849889624724,605.0,-96.88741721854304,200.2207505518764,Acquired,1,0.5418811881188119,9,0
NextGen Logistics Nexus 65,Brazil,Logistics,0,483.0,2.0,10.2,-99.58592132505176,409.99999999999994,-97.88819875776397,155.2070393374741,Acquired,1,0.5302970297029703,14,0
Smart EdTech Flow 66,Singapore,EdTech,0,158.0,432.0,1.8,173.41772151898732,-99.58333333333333,-98.86075949367088,36.917194092826996,Successful,2,1.0053465346534654,3,0
Core Logistics Technologies 67,Brazil,Logistics,0,271.0,104.0,3.3,-61.62361623616236,-96.82692307692308,-98.78228782287822,-79.22526965654272,Successful,2,1.0098019801980198,9,0
Smart Logistics Hub 68,Canada,Logistics,0,252.0,1.3,3.7,-99.48412698412697,184.6153846153846,-98.53174603174604,42.56562881562882,Successful,2,1.010990099009901,8,0
Global BioTech Wave 69,USA,BioTech,0,323.0,1.0,14.6,-99.69040247678018,1360.0,-95.47987616099071,200.15479876160992,Failed,0,0.04336633663366336,7,0
Elite AI/ML Technologies 70,UK,AI/ML,1,44.0,295.0,7.5,570.4545454545454,-97.45762711864407,-82.95454545454545,201.27118644067798,Successful,2,1.0222772277227723,5,1
Apex BioTech Systems 71,Singapore,BioTech,0,165.0,1.1,8.7,-99.33333333333334,690.9090909090909,-94.72727272727273,200.33333333333331,Successful,2,1.0258415841584159,6,1
NextGen AgriTech Point 72,Israel,AgriTech,0,222.0,1.2,7.4,-99.45945945945947,516.6666666666667,-96.66666666666667,200.27027027027026,Successful,2,1.021980198019802,3,1
Core Cybersecurity Point 73,Germany,Cybersecurity,0,368.0,1.3,8.4,-99.64673913043478,546.1538461538462,-97.71739130434783,200.17663043478262,Acquired,1,0.524950495049505,7,0
Smart BioTech Network 74,Australia,BioTech,0,324.0,1.8,13.0,-99.44444444444444,622.2222222222222,-95.98765432098766,200.27777777777777,Successful,2,1.0386138613861386,3,1
Smart Logistics Solutions 75,Brazil,Logistics,0,182.0,1.8,12.9,-99.01098901098901,616.6666666666666,-92.9120879120879,200.4945054945055,Successful,2,1.0383168316831684,2,1
NextGen SaaS Nexus 76,USA,SaaS,0,157.0,1.8,2.2,-98.85350318471336,22.22222222222223,-98.5987261146497,-38.315640481245566,Successful,2,1.0065346534653465,12,0
Elite EdTech Network 77,USA,EdTech,0,236.0,1.7,3.4,-99.27966101694916,100.0,-98.5593220338983,0.36016949152541855,Successful,2,1.01009900990099,10,0
Elite AgriTech Systems 78,South Korea,AgriTech,0,216.0,615.0,12.2,184.72222222222223,-98.01626016260163,-94.35185185185185,43.3529810298103,Failed,0,0.036237623762376235,5,0
Quantum FinTech Solutions 79,India,FinTech,0,133.0,718.0,13.4,439.8496240601504,-98.13370473537604,-89.92481203007519,170.85795966238717,Successful,2,1.0398019801980198,4,1
Global CleanTech Flow 80,South Korea,CleanTech,0,365.0,1.6,13.9,-99.56164383561644,768.75,-96.19178082191782,200.21917808219177,Failed,0,0.04128712871287129,2,0
Global CleanTech Technologies 81,UK,CleanTech,0,274.0,1.4,12.2,-99.48905109489053,771.4285714285714,-95.54744525547446,200.25547445255472,Successful,2,1.0362376237623763,2,1
Smart CleanTech Systems 82,South Korea,CleanTech,0,151.0,795.0,13.2,426.4900662251655,-98.33962264150942,-91.25827814569537,164.07522179182803,Successful,2,1.0392079207920792,12,1
Zenith E-commerce Labs 83,India,E-commerce,0,422.0,1.1,8.5,-99.739336492891,672.7272727272726,-97.98578199052133,200.13033175355451,Successful,2,1.0252475247524753,13,1
Nova SaaS Network 84,South Korea,SaaS,0,10.0,522.0,4.2,5120.0,-99.19540229885057,-57.99999999999999,200.4022988505747,Successful,2,1.0124752475247525,2,0
Quantum SaaS Systems 85,France,SaaS,0,33.0,714.0,12.4,2063.6363636363635,-98.26330532212886,-62.42424242424243,200.86834733893556,Successful,2,1.0368316831683169,9,1
Apex HealthTech Labs 86,UAE,HealthTech,0,347.0,999.0,1.4,187.89625360230548,-99.85985985985987,-99.59654178674351,44.018196871222806,Successful,2,1.0041584158415842,2,0
Apex CleanTech Network 87,Brazil,CleanTech,0,57.0,1.7,2.5,-97.01754385964911,47.05882352941177,-95.6140350877193,-24.97936016511867,Successful,2,1.0074257425742574,5,0
Smart CleanTech Labs 88,Japan,CleanTech,0,480.0,1.3,5.9,-99.72916666666667,353.84615384615387,-98.77083333333334,127.05849358974359,Successful,2,1.0175247524752475,13,1
Global HealthTech Solutions 89,Israel,HealthTech,0,451.0,1.0,3.5,-99.77827050997783,250.0,-99.22394678492239,75.11086474501109,Acquired,1,0.5103960396039604,14,0
Core E-commerce Nexus 90,USA,E-commerce,0,63.0,1.9,6.2,-96.98412698412699,226.31578947368425,-90.15873015873015,64.66583124477863,Successful,2,1.0184158415841584,5,1
Quantum FinTech Technologies 91,UAE,FinTech,0,67.0,144.0,4.8,114.92537313432835,-96.66666666666666,-92.83582089552239,9.129353233830848,Acquired,1,0.5142574257425743,14,0
NextGen E-commerce Wave 92,Israel,E-commerce,0,303.0,1.6,7.3,-99.47194719471946,356.24999999999994,-97.59075907590758,128.38902640264024,Successful,2,1.0216831683168317,2,1
Zenith E-commerce Flow 93,Israel,E-commerce,0,500.0,766.0,13.6,53.2,-98.22454308093994,-97.28,-22.512271540469968,Successful,2,1.0403960396039604,14,1
Prime E-commerce Hub 94,India,E-commerce,0,199.0,1.4,13.9,-99.2964824120603,892.8571428571429,-93.01507537688441,200.35175879396985,Successful,2,1.0412871287128713,7,1
Apex E-commerce Labs 95,Israel,E-commerce,0,175.0,560.0,14.4,220.00000000000003,-97.42857142857143,-91.77142857142857,61.2857142857143,Successful,2,1.0427722772277228,11,1
NextGen BioTech Wave 96,UAE,BioTech,0,383.0,915.0,13.0,138.90339425587467,-98.5792349726776,-96.60574412532638,20.162079641598538,Failed,0,0.03861386138613861,7,0
Elite Cybersecurity Labs 97,France,Cybersecurity,0,189.0,1.3,4.9,-99.3121693121693,276.92307692307696,-97.4074074074074,88.80545380545382,Successful,2,1.0145544554455446,4,1
Elite Cybersecurity Network 98,USA,Cybersecurity,0,277.0,1.9,5.5,-99.31407942238269,189.47368421052633,-98.014440433213,45.07980239407182,Successful,2,1.0163366336633664,2,1
Smart Cybersecurity Wave 99,Israel,Cybersecurity,0,376.0,994.0,13.5,164.36170212765958,-98.64185110663985,-96.4095744680851,32.85992551050987,Successful,2,1.0400990099009901,12,1
Global EdTech Point 100,Brazil,EdTech,0,126.0,1.6,6.3,-98.73015873015873,293.74999999999994,-95.0,97.5099206349206,Successful,2,1.0187128712871287,5,1
Smart AgriTech Flow 101,Brazil,AgriTech,0,256.0,1.2,7.9,-99.53125,558.3333333333334,-96.9140625,200.234375,Successful,2,1.0234653465346535,2,1
Quantum E-commerce Flow 102,India,E-commerce,0,460.0,322.0,8.3,-30.0,-97.4223602484472,-98.19565217391303,-63.7111801242236,Acquired,1,0.5246534653465347,4,0
Elite Cybersecurity Flow 103,Japan,Cybersecurity,0,469.0,1.0,8.9,-99.7867803837953,790.0,-98.10234541577826,200.10660980810235,Failed,0,0.02643564356435644,3,0
Quantum AgriTech Technologies 104,South Korea,AgriTech,0,319.0,1.4,6.8,-99.56112852664577,385.7142857142858,-97.86833855799372,143.07657859382,Successful,2,1.0201980198019802,6,1
Prime EdTech Network 105,South Korea,EdTech,0,249.0,557.0,3.8,123.69477911646587,-99.31777378815082,-98.4738955823293,12.188502664157525,Successful,2,1.0112871287128713,9,0
Apex Cybersecurity Technologies 106,Germany,Cybersecurity,0,452.0,857.0,3.7,89.60176991150442,-99.56826137689615,-99.18141592920354,-4.983245732695863,Successful,2,1.010990099009901,14,0
Global AgriTech Network 107,Brazil,AgriTech,0,410.0,345.0,7.0,-15.853658536585366,-97.97101449275362,-98.29268292682927,-56.9123365146695,Successful,2,1.0207920792079208,3,1
Global AgriTech Wave 108,Brazil,AgriTech,0,405.0,1.4,4.8,-99.65432098765432,242.8571428571429,-98.81481481481481,71.60141093474428,Successful,2,1.0142574257425743,12,1
Zenith PropTech Solutions 109,Japan,PropTech,0,189.0,805.0,5.1,325.9259259259259,-99.36645962732918,-97.3015873015873,113.27973314929838,Successful,2,1.0151485148514852,2,1
Apex E-commerce Solutions 110,Brazil,E-commerce,0,129.0,1.1,10.2,-99.14728682170542,827.2727272727271,-92.09302325581396,200.4263565891473,Successful,2,1.0302970297029703,13,1
Apex EdTech Technologies 111,France,EdTech,0,178.0,1.2,5.1,-99.32584269662922,324.99999999999994,-97.13483146067416,112.83707865168536,Successful,2,1.0151485148514852,5,1
Zenith AgriTech Solutions 112,USA,AgriTech,0,338.0,764.0,8.4,126.03550295857988,-98.90052356020944,-97.51479289940829,13.567489699185224,Acquired,1,0.524950495049505,13,0
Apex CleanTech Labs 113,Brazil,CleanTech,0,39.0,893.0,5.1,2189.74358974359,-99.42889137737961,-86.92307692307692,200.2855543113102,Successful,2,1.0151485148514852,4,1
Quantum BioTech Flow 114,France,BioTech,0,331.0,1.0,10.1,-99.69788519637463,910.0,-96.94864048338367,200.1510574018127,Successful,2,1.03,3,1
Elite Logistics Point 115,Singapore,Logistics,0,141.0,1.4,1.0,-99.00709219858156,-28.571428571428566,-99.29078014184397,-63.789260385005065,Acquired,1,0.502970297029703,4,0
Apex FinTech Labs 116,Singapore,FinTech,0,327.0,639.0,13.2,95.41284403669725,-97.93427230046947,-95.96330275229357,-1.260714131886111,Acquired,1,0.5392079207920792,7,0
Nova BioTech Systems 117,Singapore,BioTech,0,242.0,1.7,6.2,-99.29752066115704,264.70588235294116,-97.43801652892562,82.70418084589207,Successful,2,1.0184158415841584,4,1
Quantum BioTech Wave 118,Japan,BioTech,0,185.0,1.4,14.1,-99.24324324324324,907.1428571428571,-92.37837837837837,200.3783783783784,Failed,0,0.04188118811881188,11,0
Apex BioTech Technologies 119,Germany,BioTech,0,137.0,1.7,13.6,-98.75912408759126,700.0,-90.07299270072993,200.62043795620437,Failed,0,0.0403960396039604,5,0
Quantum AI/ML Solutions 120,Israel,AI/ML,1,471.0,1.4,11.8,-99.70276008492569,742.857142857143,-97.49469214437367,200.14861995753716,Failed,0,0.03504950495049505,11,0
Nova EdTech Systems 121,UK,EdTech,0,7.0,429.0,9.7,6028.571428571428,-97.73892773892774,38.57142857142856,201.13053613053614,Successful,2,1.0673833097595473,6,1
Apex Cybersecurity Hub 122,Australia,Cybersecurity,0,227.0,1.1,1.7,-99.51541850220265,54.54545454545453,-99.2511013215859,-22.48498197837406,Successful,2,1.005049504950495,6,0
Global AgriTech Labs 123,India,AgriTech,0,381.0,709.0,9.6,86.08923884514435,-98.64598025387869,-97.48031496062991,-6.27837070436717,Successful,2,1.0285148514851485,4,1
Nova Logistics Hub 124,France,Logistics,0,275.0,1.1,5.2,-99.6,372.72727272727263,-98.10909090909091,136.5636363636363,Acquired,1,0.5154455445544555,13,0
Zenith BioTech Labs 125,UAE,BioTech,0,219.0,1.3,7.0,-99.40639269406391,438.4615384615385,-96.80365296803653,169.5275728837373,Successful,2,1.0207920792079208,14,1
Global SaaS Hub 126,Canada,SaaS,0,367.0,368.0,14.2,0.2724795640326975,-96.1413043478261,-96.1307901907357,-47.9344123918967,Acquired,1,0.5421782178217822,9,0
Quantum EdTech Network 127,Germany,EdTech,0,101.0,1.2,1.3,-98.8118811881188,8.333333333333341,-98.7128712871287,-45.23927392739273,Successful,2,1.0038613861386139,8,0
Smart AgriTech Network 128,Brazil,AgriTech,0,243.0,1.5,1.4,-99.38271604938271,-6.666666666666672,-99.42386831275721,-53.02469135802469,Failed,0,0.004158415841584158,6,0
Apex AgriTech Flow 129,Japan,AgriTech,0,395.0,142.0,12.5,-64.0506329113924,-91.19718309859155,-96.83544303797468,-77.62390800499197,Successful,2,1.0371287128712872,2,1
Prime AI/ML Hub 130,Canada,AI/ML,1,142.0,1.3,8.9,-99.0845070422535,584.6153846153846,-93.73239436619718,200.45774647887325,Successful,2,1.0264356435643565,3,1
Quantum CleanTech Point 131,South Korea,CleanTech,0,223.0,575.0,13.0,157.847533632287,-97.73913043478261,-94.17040358744396,30.054201598752194,Acquired,1,0.5386138613861386,6,0
Global EdTech Point 132,Israel,EdTech,0,323.0,1.2,12.0,-99.62848297213623,900.0000000000002,-96.28482972136223,200.1857585139319,Failed,0,0.03564356435643564,3,0
Quantum AgriTech Solutions 133,South Korea,AgriTech,0,466.0,1.2,7.9,-99.74248927038627,558.3333333333334,-98.30472103004291,200.12875536480686,Successful,2,1.0234653465346535,14,1
Prime AI/ML Systems 134,USA,AI/ML,1,221.0,1.9,10.0,-99.14027149321267,426.3157894736843,-95.47511312217195,163.5877589902358,Successful,2,1.0297029702970297,12,1
Nova FinTech Systems 135,Australia,FinTech,0,470.0,1.9,14.6,-99.59574468085107,668.421052631579,-96.89361702127658,200.20212765957447,Successful,2,1.0433663366336634,12,1
NextGen Cybersecurity Network 136,India,Cybersecurity,0,212.0,1.6,6.7,-99.24528301886792,318.74999999999994,-96.83962264150944,109.75235849056601,Successful,2,1.01990099009901,14,1
Zenith BioTech Systems 137,Israel,BioTech,0,240.0,327.0,7.0,36.25,-97.85932721712538,-97.08333333333333,-30.80466360856269,Successful,2,1.0207920792079208,12,1
Core FinTech Flow 138,Singapore,FinTech,0,179.0,894.0,2.9,399.4413407821229,-99.67561521252797,-98.37988826815642,149.88286278479745,Successful,2,1.0086138613861386,10,0
Prime Logistics Systems 139,Japan,Logistics,0,465.0,317.0,6.3,-31.827956989247312,-98.01261829652996,-98.64516129032258,-64.92028764288864,Successful,2,1.0187128712871287,14,1
Zenith AgriTech Wave 140,France,AgriTech,0,49.0,1.0,10.8,-97.95918367346938,980.0000000000001,-77.9591836734694,201.0204081632653,Successful,2,1.032079207920792,12,1
Prime PropTech Technologies 141,USA,PropTech,0,378.0,1.7,14.7,-99.55026455026456,764.7058823529412,-96.11111111111111,200.22486772486772,Acquired,1,0.5436633663366337,5,0
Core Logistics Labs 142,Israel,Logistics,0,127.0,713.0,10.8,461.41732283464563,-98.48527349228611,-91.49606299212599,181.46602467117975,Acquired,1,0.5320792079207921,5,0
NextGen PropTech Nexus 143,Israel,PropTech,0,77.0,1.9,3.1,-97.53246753246752,63.15789473684211,-95.97402597402598,-17.187286397812706,Successful,2,1.0092079207920792,4,0
Global Logistics Labs 144,Germany,Logistics,0,225.0,929.0,13.5,312.8888888888889,-98.54682454251883,-94.0,107.17103217318504,Successful,2,1.0400990099009901,9,1
Smart HealthTech Systems 145,Singapore,HealthTech,0,244.0,305.0,12.1,25.0,-96.0327868852459,-95.04098360655739,-35.51639344262295,Failed,0,0.03594059405940594,10,0
Zenith BioTech Wave 146,UK,BioTech,0,95.0,1.6,11.6,-98.3157894736842,625.0,-87.78947368421053,200.8421052631579,Successful,2,1.0344554455445545,11,1
Apex AI/ML Systems 147,Japan,AI/ML,1,41.0,2.0,9.2,-95.1219512195122,359.99999999999994,-77.5609756097561,132.43902439024387,Successful,2,1.0273267326732674,7,1
Smart HealthTech Nexus 148,Singapore,HealthTech,0,65.0,1.9,14.6,-97.07692307692308,668.421052631579,-77.53846153846153,201.46153846153845,Acquired,1,0.5433663366336634,8,0
Smart PropTech Nexus 149,Canada,PropTech,0,44.0,1.8,10.7,-95.9090909090909,494.4444444444444,-75.68181818181817,199.26767676767673,Successful,2,1.0317821782178218,14,1
Quantum AgriTech Wave 150,India,AgriTech,0,274.0,870.0,14.2,217.51824817518246,-98.36781609195401,-94.81751824817519,59.575216041614226,Acquired,1,0.5421782178217822,4,0
Global Logistics Wave 151,Australia,Logistics,0,74.0,613.0,11.6,728.3783783783784,-98.10766721044045,-84.32432432432432,200.94616639477977,Successful,2,1.0344554455445545,6,1
Core EdTech Network 152,South Korea,EdTech,0,265.0,522.0,1.9,96.98113207547169,-99.6360153256705,-99.28301886792454,-1.3274416250994037,Acquired,1,0.5056435643564356,11,0
Zenith E-commerce Systems 153,Singapore,E-commerce,0,301.0,1.8,8.7,-99.40199335548172,383.3333333333333,-97.10963455149502,141.9656699889258,Failed,0,0.02584158415841584,9,0
NextGen PropTech Technologies 154,Japan,PropTech,0,173.0,1.7,10.0,-99.01734104046244,488.2352941176471,-94.21965317919076,194.60897653859232,Successful,2,1.0297029702970297,3,1
Nova AgriTech Point 155,Singapore,AgriTech,0,17.0,1.8,6.7,-89.41176470588235,272.22222222222223,-60.58823529411765,91.40522875816994,Successful,2,1.01990099009901,3,1
Smart AI/ML Labs 156,Singapore,AI/ML,1,92.0,1.9,13.9,-97.93478260869564,631.578947368421,-84.89130434782608,201.0326086956522,Successful,2,1.0412871287128713,13,1
Prime FinTech Hub 157,Canada,FinTech,0,71.0,1.2,4.9,-98.30985915492957,308.33333333333337,-93.09859154929576,105.0117370892019,Acquired,1,0.5145544554455446,9,0
